,label,mean_intensity_nuf2,fname_nuf2,mean_intensity_astrin,fname_astrin,Nuf2_cyto,PP1_cyto,Nuf2_bg,PP1_bg
33,2_11,5510.539267015707,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z02_C0_T0.tif,4720.808900523561,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z02_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
34,3_1,5281.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C0_T0.tif,3891.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
35,3_2,5875.871621621622,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C0_T0.tif,4508.155405405405,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
36,3_3,5161.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C0_T0.tif,8209.333333333334,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
37,3_4,5080.8,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C0_T0.tif,8950.6,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
38,3_5,5526.182634730539,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C0_T0.tif,4681.380239520958,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z03_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
39,4_1,5068.5625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,4040.3125,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
40,4_2,5750.4324324324325,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,4403.554054054054,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
41,4_3,5020.2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,8217.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
42,4_4,5113.583333333333,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,8431.083333333334,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
43,4_5,5141.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,8396.5,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
44,4_6,5171.625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,8223.625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
45,4_7,5092.52,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,8790.6,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
46,4_8,5139.875,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,8388.625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
47,4_9,5156.75,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,9077.125,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
48,4_10,5112.625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,8653.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
49,4_11,4914.583333333333,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,5473.5,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
50,4_12,5064.642857142857,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,4105.714285714285,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
51,4_13,5432.867549668874,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C0_T0.tif,4680.615894039735,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z04_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
52,5_1,5749.425925925926,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C0_T0.tif,4394.712962962963,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
53,5_2,5418.125,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C0_T0.tif,8297.125,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
54,5_3,5212.583333333333,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C0_T0.tif,8553.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
55,5_4,5356.333333333333,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C0_T0.tif,8862.916666666666,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
56,5_5,5278.416666666667,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C0_T0.tif,8009.333333333333,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_DMSO_well3_point1_18min01_R3D_D3D_Z05_C1_T0.tif,4339.975602089701,4618.972512733958,4183.36,3881.42
