,fname_green,label,area,eccentricity,perimeter,mean_intensity_green,bg_value_mask,fname_red,mean_intensity_red,bg_value_channel,intensity_ratio
427,Z1_C0_T16.tif,37_1,57,0.8564014462296795,27.071067811865476,10617.715438596491,6813.54,Z1_C1_T16.tif,818.1433333333333,3502.36,12.977818196399765
428,Z1_C0_T16.tif,37_2,92,0.9062819090585582,42.384776310850235,10825.550869565222,6813.54,Z1_C1_T16.tif,964.6469565217387,3502.36,11.22229308492227
429,Z1_C0_T16.tif,37_3,49,0.7661723509298821,23.899494936611664,11445.376734693882,6813.54,Z1_C1_T16.tif,1893.8304081632652,3502.36,6.043506686427219
430,Z1_C0_T16.tif,37_4,32,0.0,17.65685424949238,9928.7275,6813.54,Z1_C1_T16.tif,1476.06,3502.36,6.726506713819222
431,Z1_C0_T16.tif,37_5,24,0.5849866175853743,15.071067811865476,9273.248333333335,6813.54,Z1_C1_T16.tif,176.2683333333333,3502.36,52.60870264086007
432,Z1_C0_T16.tif,37_6,39,0.41530014054349734,19.899494936611667,10063.693846153843,6813.54,Z1_C1_T16.tif,858.9382051282053,3502.36,11.71643522906486
433,Z1_C0_T16.tif,37_7,45,0.9086199605941843,24.14213562373095,9141.162222222221,6813.54,Z1_C1_T16.tif,810.4766666666662,3502.36,11.278748171514984
434,Z1_C0_T16.tif,37_8,81,0.6229579021485276,37.55634918610404,9493.02148148148,6813.54,Z1_C1_T16.tif,965.6865432098764,3502.36,9.830334230326253
435,Z1_C0_T16.tif,37_9,8,0.5773502691896258,7.65685424949238,8926.54,6813.54,Z1_C1_T16.tif,1030.935,3502.36,8.658683622148827
436,Z1_C0_T16.tif,37_10,52,0.9087399455881034,28.72792206135785,9188.789999999999,6813.54,Z1_C1_T16.tif,695.694615384615,3502.36,13.208079805131126
437,Z1_C0_T16.tif,37_11,30,0.7818314396351215,18.727922061357855,9186.54,6813.54,Z1_C1_T16.tif,28072.943333333344,3502.36,0.3272382197662921
438,Z1_C0_T17.tif,38_1,43,0.7793878573566326,22.48528137423857,10173.834883720929,6813.54,Z1_C1_T17.tif,1261.959534883721,3502.36,8.06193431920015
