,label,mean_intensity_nuf2_CFP,fname_nuf2_CFP,mean_intensity_YFP_pp1,fname_YFP_pp1,nuf2_CFP_cyto,YFP_pp1_cyto,nuf2_CFP_bg,YFP_pp1_bg
52,3_9,5714.705882352941,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C0_T0.tif,9238.5,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
53,3_10,5343.125,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C0_T0.tif,9667.1875,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
54,3_11,5381.142857142857,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C0_T0.tif,9125.07142857143,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
55,3_12,5559.3125,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C0_T0.tif,9715.3125,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
56,3_13,5445.375,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C0_T0.tif,8326.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
57,3_14,5583.833333333333,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C0_T0.tif,8870.416666666666,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
58,3_15,5504.833333333333,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C0_T0.tif,8660.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
59,3_16,5531.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C0_T0.tif,9268.416666666666,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
60,3_17,5424.5,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C0_T0.tif,8794.375,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z03_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
61,4_1,5420.272727272727,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z04_C0_T0.tif,9502.727272727272,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point7_14min01_R3D_D3D_Z04_C1_T0.tif,4527.048160893171,5986.214294090057,4318.585,5249.2775
